240,1,4
331,4
332,4
333,4
334,4
335,4
336,4
337,4
312,4
313,4
314,4
192,4
193,4
194,4
195,4
196,4
197,4
198,4
199,4
200,4
201,4
202,4
108,4
109,4
110,4
111,4
112,4
5,4
6,4
7,4
364,3
365,3
366,3
1,4
2,4
3,4
4,4
364,3
360,3
361,3
362,3
363,3
358,3
359,3
360,3
355,3
356,3
357,3
329,3
330,3
331,3
327,3
328,3
329,3
326,3
204,3
196,3
197,3
198,3
199,3
200,3
201,3
202,3
203,3
194,3
195,3
129,3
130,3
131,3
1,3
2,3
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,2
353,2
328,2
329,2
330,2
331,2
332,2
327,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
1,2
2,2
354,1
332,1
333,1
